PATH,GENRE AS SHOWN ON THE STORE,GENRE CODE FOR METADATA,GENRE ID
Music | Electronic | Levant Electronic,Levant Electronic,LEVANT-ELECTRONIC-00,100100
Music | Electronic | Maghreb Electronic,Maghreb Electronic,MAGHREB-ELECTRONIC-00,100102
Music | Enka,Enka,ENKA-00,28
Music | Fitness & Workout,Fitness & Workout,FITNESS-WORKOUT-00,50
Music | Folk,Folk,FOLK-00,1289
Music | Folk | Iraqi Folk,Iraqi Folk,IRAQI-FOLK-00,100103
Music | Folk | Khaleeji Folk,Khaleeji Folk,KHALEEJI-FOLK-00,100104
Music | French Pop,French Pop,FRENCH-POP-00,50000064
Music | German Folk,German Folk,GERMAN-FOLK-00,50000068
Music | German Pop,German Pop,GERMAN-POP-00,50000066
Music | Hip Hop/Rap,Hip Hop/Rap,HIP-HOP-RAP-00,18
Music | Hip Hop/Rap | Alternative Rap,Alternative Rap,ALTERNATIVE-RAP-00,1068
Music | Hip Hop/Rap | Chinese Hip-Hop,Chinese Hip-Hop,CHINESE-HIP-HOP-00,1241
Music | Hip Hop/Rap | Dirty South,Dirty South,DIRTY-SOUTH-00,1069
Music | Hip Hop/Rap | East Coast Rap,East Coast Rap,EAST-COAST-RAP-00,1070
Music | Hip Hop/Rap | Egyptian Hip-Hop,Egyptian Hip-Hop,EGYPTIAN-HIP-HOP-00,100094
Music | Hip Hop/Rap | Gangsta Rap,Gangsta Rap,GANGSTA-RAP-00,1071
Music | Hip Hop/Rap | Ghanaian Drill,Ghanaian Drill,GHANAIAN-DRILL-00,50000154
Music | Hip Hop/Rap | Hardcore Rap,Hardcore Rap,HARDCORE-RAP-00,1072
Music | Hip Hop/Rap | Hip-Hop,Hip-Hop,HIP-HOP-00,1073
Music | Hip Hop/Rap | Khaleeji Hip-Hop,Khaleeji Hip-Hop,KHALEEJI-HIP-HOP-00,100096
Music | Hip Hop/Rap | Korean Hip-Hop,Korean Hip-Hop,KOREAN-HIP-HOP-00,1242
Music | Hip Hop/Rap | Latin Rap,Latin Rap,LATIN-RAP-00,1074
Music | Hip Hop/Rap | Levant Hip-Hop,Levant Hip-Hop,LEVANT-HIP-HOP-00,100093
Music | Hip Hop/Rap | Maghreb Hip-Hop,Maghreb Hip-Hop,MAGHREB-HIP-HOP-00,100095
Music | Hip Hop/Rap | Old School Rap,Old School Rap,OLD-SCHOOL-RAP-00,1075
Music | Hip Hop/Rap | Rap,Rap,RAP-00,1076
Music | Hip Hop/Rap | Russian Hip-Hop,Russian Hip-Hop,RUSSIAN-HIP-HOP-00,100078
Music | Hip Hop/Rap | South African Hip-Hop,South African Hip-Hop,SOUTH-AFRICAN-HIP-HOP-00,50000157
Music | Hip Hop/Rap | Turkish Hip-Hop/Rap,Turkish Hip-Hop/Rap,TURKISH-HIP-HOP-00,100072
Music | Hip Hop/Rap | UK Hip Hop,UK Hip Hop,UK-HIP-HOP-00,100016
Music | Hip Hop/Rap | Underground Rap,Underground Rap,UNDERGROUND-RAP-00,1077
Music | Hip Hop/Rap | West Coast Rap,West Coast Rap,WEST-COAST-RAP-00,1078
Music | Holiday,Holiday,HOLIDAY-00,8
Music | Holiday | Christmas,Christmas,CHRISTMAS-00,1080
Music | Holiday | Christmas: Children's,Christmas: Children's,CHRISTMAS-CHILDRENS-00,1081
Music | Holiday | Christmas: Classic,Christmas: Classic,CHRISTMAS-CLASSIC-00,1082
Music | Holiday | Christmas: Classical,Christmas: Classical,CHRISTMAS-CLASSICAL-00,1083
Music | Holiday | Christmas: Country,Christmas: Country,CHRISTMAS-COUNTRY-00,100106
